task	target_id	length	states	samples_per_model	simplefold_models	min_reference_identity	min_CA_coverage	metadata_source
apo	1a6d_a	545	2	5	6	1.000000	0.922936	apo.csv
apo	1ael_a	131	2	5	6	1.000000	1.000000	apo.csv
apo	1akz_a	223	2	5	6	1.000000	1.000000	apo.csv
apo	1aw2_a	256	2	5	6	1.000000	0.992188	apo.csv
apo	1bv2_a	91	2	5	6	1.000000	1.000000	apo.csv
apo	1c54_a	96	2	5	6	1.000000	1.000000	apo.csv
apo	1cfc_a	148	2	5	6	0.993243	0.993243	apo.csv
apo	1dmo_a	148	2	5	6	1.000000	0.966216	apo.csv
apo	1e5l_a	450	2	5	6	1.000000	0.997778	apo.csv
apo	1eal_a	127	2	5	6	1.000000	1.000000	apo.csv
apo	1evk_a	401	2	5	6	1.000000	1.000000	apo.csv
apo	1ex6_b	186	2	5	6	1.000000	1.000000	apo.csv
apo	1f3y_a	165	2	5	6	1.000000	1.000000	apo.csv
apo	1fmf_a	137	2	5	6	1.000000	1.000000	apo.csv
apo	1fsf_a	266	2	5	6	1.000000	1.000000	apo.csv
apo	1g6w_d	261	2	5	6	1.000000	0.977011	apo.csv
apo	1gh1_a	90	2	5	6	1.000000	1.000000	apo.csv
apo	1gqn_a	252	2	5	6	1.000000	1.000000	apo.csv
apo	1gqz_a	274	2	5	6	1.000000	1.000000	apo.csv
apo	1gud_a	288	2	5	6	1.000000	1.000000	apo.csv
apo	1hoo_b	431	2	5	6	1.000000	1.000000	apo.csv
apo	1hsi_b	99	2	5	6	1.000000	1.000000	apo.csv
apo	1hw1_b	239	2	5	6	1.000000	0.933054	apo.csv
apo	1i56_a	130	2	5	6	1.000000	1.000000	apo.csv
apo	1igp_a	175	2	5	6	1.000000	1.000000	apo.csv
apo	1ija_a	148	2	5	6	1.000000	1.000000	apo.csv
apo	1jej_a	351	2	5	6	1.000000	1.000000	apo.csv
apo	1jfj_a	134	2	5	6	1.000000	1.000000	apo.csv
apo	1jm4_b	118	2	5	6	1.000000	1.000000	apo.csv
apo	1k2h_a	93	2	5	6	1.000000	1.000000	apo.csv
apo	1k5h_a	398	2	5	6	1.000000	1.000000	apo.csv
apo	1k6w_a	426	2	5	6	1.000000	0.992958	apo.csv
