target_id	state	reference_name	sequence_identity	exact_sequence_match_0.95	CA_coverage	sha256	reference_path
1a6d_a	state1	1a6d.A.pdb	1.000000	1	0.922936	ee930e151a84b020d1f6b9642e0bd985119f14b84502823c1d556a17672143e3	references/1a6d_a/state1_1a6d.A.pdb
1a6d_a	state2	1a6e.A.pdb	1.000000	1	0.922936	87a1825d6b8d1a843fee2c12996f91cd1a853d3cfd4c77a928e2c5a34bfe0d75	references/1a6d_a/state2_1a6e.A.pdb
1ael_a	state1	1ael.A.pdb	1.000000	1	1.000000	a7881ebf32490ae4ac0098145a3ed0a852f31a309cddee64453912029a1e4768	references/1ael_a/state1_1ael.A.pdb
1ael_a	state2	1ure.A.pdb	1.000000	1	1.000000	fa190e3eae109f95da1e90ad344054408190b5964cfd6ee2b3e6ad34faec38e5	references/1ael_a/state2_1ure.A.pdb
1akz_a	state1	1akz.A.pdb	1.000000	1	1.000000	515bf550dfa5f83c3ca910726855e9338367ffeff81402d78100654d4408eaa0	references/1akz_a/state1_1akz.A.pdb
1akz_a	state2	1ssp.E.pdb	1.000000	1	1.000000	139810dd35838dd3f73d38a79062b9adec77f4c49887c90cae6f02a7216ad024	references/1akz_a/state2_1ssp.E.pdb
1aw2_a	state1	1aw2.A.pdb	1.000000	1	0.996094	1f3a90dffde87e421eb9827f6b15d56bb1273e0fa4c6b5b51dff692d651fdb3f	references/1aw2_a/state1_1aw2.A.pdb
1aw2_a	state2	1aw1.B.pdb	1.000000	1	0.992188	28f2a384d1a67aff493bd2fedd759fc69f5b0f2a21d038d8bb3cb93d8e5bc801	references/1aw2_a/state2_1aw1.B.pdb
1bv2_a	state1	1bv2.A.pdb	1.000000	1	1.000000	0d24ebab739f40bc8b404f3e1d8ad5e94290c3f11add3a9384a243ef6c3e3d45	references/1bv2_a/state1_1bv2.A.pdb
1bv2_a	state2	1uvb.A.pdb	1.000000	1	1.000000	b465d9225c237e2abd23618572a34355699d71e28d2a2e816b7fc5aea56bddb0	references/1bv2_a/state2_1uvb.A.pdb
