task	target_id	length	states	samples_per_model	simplefold_models	min_reference_identity	min_CA_coverage	metadata_source
cameo22	7dz2_c	286	1	1	6	1.000000	0.993007	cameo2022.csv
cameo22	7eoz_a	532	1	1	6	1.000000	0.906015	cameo2022.csv
cameo22	7fac_a	529	1	1	6	1.000000	0.990548	cameo2022.csv
cameo22	7fgb_a	489	1	1	6	1.000000	0.791411	cameo2022.csv
cameo22	7fgp_a	390	1	1	6	1.000000	0.966667	cameo2022.csv
cameo22	7fh0_b	261	1	1	6	1.000000	0.942529	cameo2022.csv
cameo22	7lt7_a	35	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7lx4_a	41	1	1	6	1.000000	0.975610	cameo2022.csv
cameo22	7m1z_b	430	1	1	6	1.000000	0.988372	cameo2022.csv
cameo22	7mj3_a	44	1	1	6	1.000000	0.977273	cameo2022.csv
cameo22	7n3y_a	413	1	1	6	1.000000	0.915254	cameo2022.csv
cameo22	7n6h_a	444	1	1	6	1.000000	0.972973	cameo2022.csv
cameo22	7n99_a	77	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7oj1_a	401	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7oj2_a	384	1	1	6	1.000000	0.919271	cameo2022.csv
cameo22	7oju_a	216	1	1	6	1.000000	0.990741	cameo2022.csv
cameo22	7pc1_a	72	1	1	6	1.000000	0.972222	cameo2022.csv
cameo22	7pce_a	358	1	1	6	1.000000	0.907821	cameo2022.csv
cameo22	7pcv_a	119	1	1	6	1.000000	0.974790	cameo2022.csv
cameo22	7pk5_a	369	1	1	6	1.000000	0.685637	cameo2022.csv
cameo22	7pkw_a	268	1	1	6	1.000000	0.895522	cameo2022.csv
cameo22	7pl4_a	31	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7pl7_a	165	1	1	6	1.000000	0.939394	cameo2022.csv
cameo22	7pqi_a	206	1	1	6	1.000000	0.961165	cameo2022.csv
cameo22	7pqw_a	50	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7pup_a	490	1	1	6	1.000000	0.977551	cameo2022.csv
cameo22	7pwe_a	196	1	1	6	1.000000	0.979592	cameo2022.csv
cameo22	7q6d_a	405	1	1	6	1.000000	0.945679	cameo2022.csv
cameo22	7q6g_a	396	1	1	6	1.000000	0.979798	cameo2022.csv
cameo22	7q83_d	274	1	1	6	1.000000	0.569343	cameo2022.csv
cameo22	7q9e_c	416	1	1	6	1.000000	0.954327	cameo2022.csv
cameo22	7qau_a	236	1	1	6	1.000000	0.911017	cameo2022.csv
cameo22	7qpe_a	476	1	1	6	1.000000	0.901261	cameo2022.csv
cameo22	7qsw_b	105	1	1	6	1.000000	0.971429	cameo2022.csv
cameo22	7qsw_c	476	1	1	6	1.000000	0.978992	cameo2022.csv
cameo22	7qsx_a	457	1	1	6	1.000000	0.982495	cameo2022.csv
cameo22	7qys_l	309	1	1	6	1.000000	0.951456	cameo2022.csv
cameo22	7r08_e	541	1	1	6	1.000000	0.902033	cameo2022.csv
cameo22	7r0o_b	360	1	1	6	1.000000	0.933333	cameo2022.csv
cameo22	7r3w_d	320	1	1	6	1.000000	0.896875	cameo2022.csv
cameo22	7r49_b	121	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7rlk_d	117	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7rmy_a	272	1	1	6	1.000000	0.977941	cameo2022.csv
cameo22	7roa_a	136	1	1	6	1.000000	0.845588	cameo2022.csv
cameo22	7rpn_a	252	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7rt7_d	144	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7rup_a	73	1	1	6	1.000000	0.835616	cameo2022.csv
cameo22	7ruq_a	73	1	1	6	1.000000	0.849315	cameo2022.csv
cameo22	7s03_a	113	1	1	6	0.990291	0.902655	cameo2022.csv
cameo22	7s8k_b	282	1	1	6	1.000000	0.985816	cameo2022.csv
cameo22	7sao_a	38	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7sbd_h	209	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7sfn_b	188	1	1	6	1.000000	0.813830	cameo2022.csv
cameo22	7skh_b	227	1	1	6	1.000000	0.969163	cameo2022.csv
cameo22	7skj_a	275	1	1	6	1.000000	0.894545	cameo2022.csv
cameo22	7snc_a	38	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7snj_a	536	1	1	6	1.000000	0.944030	cameo2022.csv
cameo22	7soo_a	99	1	1	6	1.000000	0.898990	cameo2022.csv
cameo22	7spn_a	456	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7sz2_b	198	1	1	6	1.000000	0.909091	cameo2022.csv
cameo22	7t12_b	232	1	1	6	1.000000	0.905172	cameo2022.csv
cameo22	7t1j_b	460	1	1	6	1.000000	0.991304	cameo2022.csv
cameo22	7t5w_b	44	1	1	6	1.000000	0.931818	cameo2022.csv
cameo22	7te2_a	213	1	1	6	1.000000	0.962441	cameo2022.csv
cameo22	7tgi_b	131	1	1	6	1.000000	0.893130	cameo2022.csv
cameo22	7th2_c	132	1	1	6	1.000000	0.969697	cameo2022.csv
cameo22	7tif_a	518	1	1	6	1.000000	0.899614	cameo2022.csv
cameo22	7tol_a	526	1	1	6	1.000000	0.937262	cameo2022.csv
cameo22	7tvw_a	275	1	1	6	1.000000	0.963636	cameo2022.csv
cameo22	7u04_h	230	1	1	6	1.000000	0.986957	cameo2022.csv
cameo22	7u0e_h	229	1	1	6	1.000000	0.978166	cameo2022.csv
cameo22	7uav_a	125	1	1	6	0.991304	0.912000	cameo2022.csv
cameo22	7ug9_a	293	1	1	6	1.000000	0.703072	cameo2022.csv
cameo22	7upm_a	264	1	1	6	1.000000	0.977273	cameo2022.csv
cameo22	7upv_a	450	1	1	6	1.000000	0.977778	cameo2022.csv
cameo22	7uqv_d	275	1	1	6	1.000000	0.945455	cameo2022.csv
cameo22	7uwg_c	137	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7ux0_a	122	1	1	6	1.000000	0.942623	cameo2022.csv
cameo22	7uxt_a	497	1	1	6	1.000000	0.943662	cameo2022.csv
cameo22	7v2s_b	287	1	1	6	1.000000	0.867596	cameo2022.csv
cameo22	7v5f_a	31	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7v8t_a	268	1	1	6	1.000000	0.944030	cameo2022.csv
cameo22	7vbo_a	203	1	1	6	1.000000	0.891626	cameo2022.csv
cameo22	7vd7_b	44	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7vf3_b	155	1	1	6	1.000000	0.096774	cameo2022.csv
cameo22	7vfc_a	228	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7vfq_c	411	1	1	6	1.000000	0.965937	cameo2022.csv
cameo22	7vi8_b	254	1	1	6	1.000000	0.996063	cameo2022.csv
cameo22	7vil_a	127	1	1	6	1.000000	0.944882	cameo2022.csv
cameo22	7vma_a	620	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7vmf_a	96	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7vmh_c	103	1	1	6	1.000000	1.000000	cameo2022.csv
cameo22	7vp3_c	72	1	1	6	1.000000	0.861111	cameo2022.csv
cameo22	7vp6_d	67	1	1	6	1.000000	0.686567	cameo2022.csv
cameo22	7vpu_a	332	1	1	6	1.000000	0.828313	cameo2022.csv
