target_id	state	reference_name	sequence_identity	exact_sequence_match_0.95	CA_coverage	sha256	reference_path
7dz2_c	state1	7dz2.C.pdb	1.000000	1	0.993007	ae55d4a1ffe2cf58f9f05480a3818893eb8d9cbca927e206737b8ed852515a64	references/7dz2_c/state1_7dz2.C.pdb
7eoz_a	state1	7eoz.A.pdb	1.000000	1	0.906015	4fab6baf852abf1a5630bb1ee22a82a2ba20dfceab8ac81643be7ea031965873	references/7eoz_a/state1_7eoz.A.pdb
7fac_a	state1	7fac.A.pdb	1.000000	1	0.990548	b98dad6e7304f816fc3469af1b435b41aab3e6c0186c5009d1a8cd19040f11a9	references/7fac_a/state1_7fac.A.pdb
7fgb_a	state1	7fgb.A.pdb	1.000000	1	0.791411	be8d06a61ba596a69b97ac1b50e1ce71b49aa12b340ccd2f89e506077ac34a3f	references/7fgb_a/state1_7fgb.A.pdb
7fgp_a	state1	7fgp.A.pdb	1.000000	1	0.966667	b7286fb3bf12c4827f41e789ac5c7b35fcb28dbb152b7e1beceb00132370b07f	references/7fgp_a/state1_7fgp.A.pdb
7fh0_b	state1	7fh0.B.pdb	1.000000	1	0.942529	36c9da5dbdfb907f99c55be5a8b5b4b3ae778cbfe1c33717ed5adedc0c742449	references/7fh0_b/state1_7fh0.B.pdb
7lt7_a	state1	7lt7.A.pdb	1.000000	1	1.000000	47aa1b4aa1790f2110e7b6ff07b81f3022dc062e7d54fbe1a15e96526e0d7821	references/7lt7_a/state1_7lt7.A.pdb
7lx4_a	state1	7lx4.A.pdb	1.000000	1	0.975610	f60652e2f9dd259f1cbbd62414770d98eb3c9e8c2687714c943593b86f978b21	references/7lx4_a/state1_7lx4.A.pdb
7m1z_b	state1	7m1z.B.pdb	1.000000	1	0.988372	1c27537663b8a645c9f7fd358352c6e05832d50d6013135d053f06570b565789	references/7m1z_b/state1_7m1z.B.pdb
7mj3_a	state1	7mj3.A.pdb	1.000000	1	0.977273	2b5c0f4d10a4ad1655bf5351bee8c1cf7c352d9c46aa48b4dc5446ce925ee379	references/7mj3_a/state1_7mj3.A.pdb
7n3y_a	state1	7n3y.A.pdb	1.000000	1	0.915254	f07bd8d01bf4129f7e91bd008b866bbc7b661a9b7551e2205313a052132ab9d7	references/7n3y_a/state1_7n3y.A.pdb
7n6h_a	state1	7n6h.A.pdb	1.000000	1	0.972973	3745eb233aaee5da2316a64510ba271bad3e773d11fe67497699a025450d2323	references/7n6h_a/state1_7n6h.A.pdb
7n99_a	state1	7n99.A.pdb	1.000000	1	1.000000	310c2977e4b4f288f65cbeeaa889a373363a543d90a396ef6957805680922122	references/7n99_a/state1_7n99.A.pdb
7oj1_a	state1	7oj1.A.pdb	1.000000	1	1.000000	34fe89e5888c22fc52310ae6ad3ce43df6821417599c4a33a375f5ef6991df64	references/7oj1_a/state1_7oj1.A.pdb
7oj2_a	state1	7oj2.A.pdb	1.000000	1	0.919271	576acc88ede10aa72ae5f5772d7361cdcffb7854c0922f58c718bdb23b90fe7e	references/7oj2_a/state1_7oj2.A.pdb
7oju_a	state1	7oju.A.pdb	1.000000	1	0.990741	15bc6de0c93cde53a0955d814edb3a28597df7597ba7d26d1f00a7ed8e9c22b9	references/7oju_a/state1_7oju.A.pdb
7pc1_a	state1	7pc1.A.pdb	1.000000	1	0.972222	6f9032c5c5f0f3e4ceb0a558996aa82bda8daca55544571e41eed74401afc4c1	references/7pc1_a/state1_7pc1.A.pdb
7pce_a	state1	7pce.A.pdb	1.000000	1	0.907821	f89e110593d2277b9925518a13398db274d99bd8e54728b0538a784ac70ca47e	references/7pce_a/state1_7pce.A.pdb
7pcv_a	state1	7pcv.A.pdb	1.000000	1	0.974790	4f0cea83d561353af26ae1a3d9955453303beda6bc7c32231543074d7a6c02dc	references/7pcv_a/state1_7pcv.A.pdb
7pk5_a	state1	7pk5.A.pdb	1.000000	1	0.685637	ed644b58c477ebddbae0c86e7ab913caf2e5d281c534df94cd7cbd8934b7ce89	references/7pk5_a/state1_7pk5.A.pdb
7pkw_a	state1	7pkw.A.pdb	1.000000	1	0.895522	86617ca65ad378394504239cc19f28327c23fb033a9745f64c40650123a25bbf	references/7pkw_a/state1_7pkw.A.pdb
7pl4_a	state1	7pl4.A.pdb	1.000000	1	1.000000	99c1de51329dc6cea3ec66468e40c58dcaf0b88f9ea013fdb23b3e37f4ca0fec	references/7pl4_a/state1_7pl4.A.pdb
7pl7_a	state1	7pl7.A.pdb	1.000000	1	0.939394	89b4e2dc831ad6ca36079a37ebe2783d03a3d50d0aa593168e575ab077c9c88b	references/7pl7_a/state1_7pl7.A.pdb
7pqi_a	state1	7pqi.A.pdb	1.000000	1	0.961165	89078dacb10d963b4a241f5f9f8283b621789ba8622d4bd7a3997e2973349eb5	references/7pqi_a/state1_7pqi.A.pdb
7pqw_a	state1	7pqw.A.pdb	1.000000	1	1.000000	2f37e8ac396606b2acd738aa98159768eebd86a9092dc29b75d5a13f54c73e2c	references/7pqw_a/state1_7pqw.A.pdb
7pup_a	state1	7pup.A.pdb	1.000000	1	0.977551	78c1cc0e9ab1bad6d0c4687d84e240c71668d077f90c66163d3674799ef0efa1	references/7pup_a/state1_7pup.A.pdb
7pwe_a	state1	7pwe.A.pdb	1.000000	1	0.979592	789999d55369c9e8765318fff029daca5e8af60d4b2d44a55f387da443ff9851	references/7pwe_a/state1_7pwe.A.pdb
7q6d_a	state1	7q6d.A.pdb	1.000000	1	0.945679	e1559df82f4177fc06e927c1495d443e3781877516a7bb052e1c76f6350c9173	references/7q6d_a/state1_7q6d.A.pdb
7q6g_a	state1	7q6g.A.pdb	1.000000	1	0.979798	c6241f03a3fa9212e22e8ae2fa703c05c8a8424208676fe5bb00c08c3d01cb87	references/7q6g_a/state1_7q6g.A.pdb
7q83_d	state1	7q83.D.pdb	1.000000	1	0.569343	f60f2e7dd444ae0f62116785fd80eb150b74e490332d202a32258c5c9bdbb6c4	references/7q83_d/state1_7q83.D.pdb
7q9e_c	state1	7q9e.C.pdb	1.000000	1	0.954327	cc1df744be697da09bfa8c7261f6ce658c000604fb3a71b62b7bbe7b14174ab0	references/7q9e_c/state1_7q9e.C.pdb
7qau_a	state1	7qau.A.pdb	1.000000	1	0.911017	0c5c4138769cf754a2a7768403ba6690003b9b964bb713fd52138721ac7f5aee	references/7qau_a/state1_7qau.A.pdb
7qpe_a	state1	7qpe.A.pdb	1.000000	1	0.901261	9b29998f6cf275bc3cec0caa5a5204b358635e04e7181c0bad2bf18554c0c36c	references/7qpe_a/state1_7qpe.A.pdb
7qsw_b	state1	7qsw.B.pdb	1.000000	1	0.971429	cc69d81aeea01b0318c9320c518bf55169cbb4869923efde892b9a9b1fef42f7	references/7qsw_b/state1_7qsw.B.pdb
7qsw_c	state1	7qsw.C.pdb	1.000000	1	0.978992	97640a6c58dadcc924488302353027ac320672d677cd1513e534fa007d3a2093	references/7qsw_c/state1_7qsw.C.pdb
7qsx_a	state1	7qsx.A.pdb	1.000000	1	0.982495	7205177d43f8237be979c07de6d4bb0ade4d149ce09a415a1b2b8b7074213524	references/7qsx_a/state1_7qsx.A.pdb
7qys_l	state1	7qys.L.pdb	1.000000	1	0.951456	ff4b58b9b7bd49b23f7159160f50d62c9b6f411b72006b3ba7216172f6efc90d	references/7qys_l/state1_7qys.L.pdb
7r08_e	state1	7r08.E.pdb	1.000000	1	0.902033	aaad85b0858d84a397ab9121af7d0b0b53e3511652a14a116ea28fdcb0b95274	references/7r08_e/state1_7r08.E.pdb
7r0o_b	state1	7r0o.B.pdb	1.000000	1	0.933333	7fda246392b952feecfdef02141b991fcb68a4fd401598ff96e595940caa8ba1	references/7r0o_b/state1_7r0o.B.pdb
7r3w_d	state1	7r3w.D.pdb	1.000000	1	0.896875	1902416493ebe4278909a4c27dd6cf0b635e531deef4831c15890ab431d57b6d	references/7r3w_d/state1_7r3w.D.pdb
7r49_b	state1	7r49.B.pdb	1.000000	1	1.000000	7cf9be7860b72f35a9ad696278c6d05f632f43d53c50ed67e9b90d6c447596b5	references/7r49_b/state1_7r49.B.pdb
7rlk_d	state1	7rlk.D.pdb	1.000000	1	1.000000	92f38854d50069d18c330b1f3d59fa0c636a71c74457c49b5a493d187a50eaf8	references/7rlk_d/state1_7rlk.D.pdb
7rmy_a	state1	7rmy.A.pdb	1.000000	1	0.977941	8d6f3e92003c35b3db4419a340087a488b5339bd04708147df768b4a103af963	references/7rmy_a/state1_7rmy.A.pdb
7roa_a	state1	7roa.A.pdb	1.000000	1	0.845588	f1544f1e114c08f75aac602dab46a00d2614935eed7bfc55fdc408e7697ce366	references/7roa_a/state1_7roa.A.pdb
7rpn_a	state1	7rpn.A.pdb	1.000000	1	1.000000	078773c1db893b4786a89b0f58c9b820e4f8c1c1c3b70c3d5de60048b787750e	references/7rpn_a/state1_7rpn.A.pdb
7rt7_d	state1	7rt7.D.pdb	1.000000	1	1.000000	95187d7ac9bd4b4743832187d48d213e3bb30292144a96efee9c14f39a1b3a74	references/7rt7_d/state1_7rt7.D.pdb
7rup_a	state1	7rup.A.pdb	1.000000	1	0.835616	4ca072568e21218194f45661748faff9a4e936220e771ef17d26bb55d7d8baf5	references/7rup_a/state1_7rup.A.pdb
7ruq_a	state1	7ruq.A.pdb	1.000000	1	0.849315	82199b4f7cc3b2bc05c264ac9e00b365b6407f281c533645b854f22433724d39	references/7ruq_a/state1_7ruq.A.pdb
7s03_a	state1	7s03.A.pdb	0.990291	1	0.902655	b8fc36595027305af4e90febefd75de98c9cd5467fd49df7ede6f865d5dc8cdd	references/7s03_a/state1_7s03.A.pdb
7s8k_b	state1	7s8k.B.pdb	1.000000	1	0.985816	275720ba9632619b55b9338db1d02e99b2c1749767da6c2a5716493ecc0cb067	references/7s8k_b/state1_7s8k.B.pdb
7sao_a	state1	7sao.A.pdb	1.000000	1	1.000000	ca3a3012f44e11e72ae71e1a8966697017822f36de25f73387f2140313222c50	references/7sao_a/state1_7sao.A.pdb
7sbd_h	state1	7sbd.H.pdb	1.000000	1	1.000000	91b964de0892a8fcdf70c6d28f04db5fe0bf1544a37ff12cb7f923c2ca81ee82	references/7sbd_h/state1_7sbd.H.pdb
7sfn_b	state1	7sfn.B.pdb	1.000000	1	0.813830	7077abb3ceb945d0048f2330270f1fe78e6fba8986f7091735beb11250a8283e	references/7sfn_b/state1_7sfn.B.pdb
7skh_b	state1	7skh.B.pdb	1.000000	1	0.969163	632f9fb176b7cc86524ce8f7b6bb9c333c74c650e1aa66f6b14feafdc76f9c9b	references/7skh_b/state1_7skh.B.pdb
7skj_a	state1	7skj.A.pdb	1.000000	1	0.894545	c663d8414986318154b51e822a7186c26ca1ca407a28a4b588c9092d9c820e6c	references/7skj_a/state1_7skj.A.pdb
7snc_a	state1	7snc.A.pdb	1.000000	1	1.000000	d99535bc13bfc48cdce8169b0cdd65a3fc400fb7c0a5bd9c2b3aedf7c2704ed3	references/7snc_a/state1_7snc.A.pdb
7snj_a	state1	7snj.A.pdb	1.000000	1	0.944030	7a9ffcc2fb43f953bb9f80ef20d6dcce21dd2187afe41a3542bbacba531a130e	references/7snj_a/state1_7snj.A.pdb
7soo_a	state1	7soo.A.pdb	1.000000	1	0.898990	83cc49606892cd7249946591a349a0bb1a857138bdbd017534e1d7a6e4db662f	references/7soo_a/state1_7soo.A.pdb
7spn_a	state1	7spn.A.pdb	1.000000	1	1.000000	5fadcc204faebaf082f7f87060121928841d2d3b78408540937cb754b94b0b75	references/7spn_a/state1_7spn.A.pdb
7sz2_b	state1	7sz2.B.pdb	1.000000	1	0.909091	49e4b2e19cf62132a5437f518b43815003bd8b9792047b5848cd0546fc4fb10d	references/7sz2_b/state1_7sz2.B.pdb
7t12_b	state1	7t12.B.pdb	1.000000	1	0.905172	a49298d1221a9509f88f30ca9d37fb0bcbe220eb75347be446ad0191d452a14f	references/7t12_b/state1_7t12.B.pdb
7t1j_b	state1	7t1j.B.pdb	1.000000	1	0.991304	8d3030c7d173fc97dc483e7eb02e307cd084d13b29d6e0ff5d3cd4bcbd4f53a8	references/7t1j_b/state1_7t1j.B.pdb
7t5w_b	state1	7t5w.B.pdb	1.000000	1	0.931818	bb8b611aa2dce1e5a89cc2e1e1a7f6a898f45f855df36ff4219eba5a73265ef5	references/7t5w_b/state1_7t5w.B.pdb
7te2_a	state1	7te2.A.pdb	1.000000	1	0.962441	6960f5eb79a59be028e9f008aaee0120b5485da84dd3531576035390f43f8f8c	references/7te2_a/state1_7te2.A.pdb
7tgi_b	state1	7tgi.B.pdb	1.000000	1	0.893130	1b99c51ab9a1fe35e0370b0aa8e1d46dad842df60a6ea1db8b248dcbfeb66a79	references/7tgi_b/state1_7tgi.B.pdb
7th2_c	state1	7th2.C.pdb	1.000000	1	0.969697	23259f16cc1aa3ad7e96c8d3711bc568a279030ca8879f1b864bf22126b49577	references/7th2_c/state1_7th2.C.pdb
7tif_a	state1	7tif.A.pdb	1.000000	1	0.899614	a78d2825f3fcabc227af122bba1350f91bea108fce6e66700b0f350626256e55	references/7tif_a/state1_7tif.A.pdb
7tol_a	state1	7tol.A.pdb	1.000000	1	0.937262	131e9685a3a3122e99cdc92b768e08916cc63a4300ee4ffb12ce4a9188a8f652	references/7tol_a/state1_7tol.A.pdb
7tvw_a	state1	7tvw.A.pdb	1.000000	1	0.963636	911bb3cafd8f7195b87a840dc58ebf5df88f6aa55bc240f3db1a2fff6f641950	references/7tvw_a/state1_7tvw.A.pdb
7u04_h	state1	7u04.H.pdb	1.000000	1	0.986957	389873c61d586bf2aae46fcc2baf027e7c2ae2acb6d23263f1db34129937cc0c	references/7u04_h/state1_7u04.H.pdb
7u0e_h	state1	7u0e.H.pdb	1.000000	1	0.978166	e79c9488607aadba8738e4e9bc150a62cfb3f6ad4b140774057696219a14e26a	references/7u0e_h/state1_7u0e.H.pdb
7uav_a	state1	7uav.A.pdb	0.991304	1	0.912000	2a174c3ff3ae02f7da85f340d2cfe82eec0ec488147dd60af3633ced8d9fddc5	references/7uav_a/state1_7uav.A.pdb
7ug9_a	state1	7ug9.A.pdb	1.000000	1	0.703072	c02b9174dfe4610e2111b33b629c60f097d9544730562df1f6f4b50785c9a4f9	references/7ug9_a/state1_7ug9.A.pdb
7upm_a	state1	7upm.A.pdb	1.000000	1	0.977273	dff8fe6f2368c204e930e44073ed01f27a22b5a4f98ef19ae5489356c764fa77	references/7upm_a/state1_7upm.A.pdb
7upv_a	state1	7upv.A.pdb	1.000000	1	0.977778	921d0ac6c5f2674f99702bfc3b37e5e9e24af815069aa2ed0cbb6b0eb3e99ee1	references/7upv_a/state1_7upv.A.pdb
7uqv_d	state1	7uqv.D.pdb	1.000000	1	0.945455	fb3ebdf4e3d5334752120e6ca6e3571301dd4579ce87e3c086d8c86590c035be	references/7uqv_d/state1_7uqv.D.pdb
7uwg_c	state1	7uwg.C.pdb	1.000000	1	1.000000	68ff9533629b764fd8826180064af2b8648095c001b6fd0987f067e23d4f55a7	references/7uwg_c/state1_7uwg.C.pdb
7ux0_a	state1	7ux0.A.pdb	1.000000	1	0.942623	a96d1d28770df249a48e56ff328a27216bcdfa1b0e85b23b927d20069c2de09f	references/7ux0_a/state1_7ux0.A.pdb
7uxt_a	state1	7uxt.A.pdb	1.000000	1	0.943662	eb12aa08d22b17158732ee566eb88224671eedd7e7d659bb69c4042f81239f3c	references/7uxt_a/state1_7uxt.A.pdb
7v2s_b	state1	7v2s.B.pdb	1.000000	1	0.867596	8360936a940d2bbab6f1c4ddc4c3b0587269942b469e27dc394558a8fe59a73d	references/7v2s_b/state1_7v2s.B.pdb
7v5f_a	state1	7v5f.A.pdb	1.000000	1	1.000000	3b6acdad6c6eca0284bfb4cd1d7a516908f8ae94389ea021caedfaaf90d20c8c	references/7v5f_a/state1_7v5f.A.pdb
