task	target_id	length	states	samples_per_model	simplefold_models	min_reference_identity	min_CA_coverage	metadata_source
codnas	1cee_b	59	2	5	6	0.960000	0.813559	codnas.csv
codnas	1iyt_a	42	2	5	6	1.000000	1.000000	codnas.csv
codnas	1jfk_a	134	2	5	6	1.000000	0.477612	codnas.csv
codnas	1k0n_a	241	2	5	6	0.990291	0.846473	codnas.csv
codnas	1mnm_c	87	2	5	6	1.000000	0.885057	codnas.csv
codnas	1noc_a	388	2	5	6	1.000000	0.958763	codnas.csv
codnas	1nqj_b	119	2	5	6	1.000000	0.932773	codnas.csv
codnas	1qs8_b	329	2	5	6	0.996960	0.996960	codnas.csv
codnas	1rep_c	251	2	5	6	0.995413	0.852590	codnas.csv
codnas	1uxm_k	153	2	5	6	0.993464	0.993464	codnas.csv
codnas	1x0g_a	112	2	5	6	1.000000	0.910714	codnas.csv
codnas	1xju_b	163	2	5	6	1.000000	0.932515	codnas.csv
codnas	1xnt_a	183	2	5	6	1.000000	0.825137	codnas.csv
codnas	2c1v_b	338	2	5	6	1.000000	0.973373	codnas.csv
codnas	2ged_b	193	2	5	6	1.000000	0.766839	codnas.csv
codnas	2grm_b	317	2	5	6	0.996667	0.943218	codnas.csv
codnas	2h44_a	326	2	5	6	0.996785	0.950920	codnas.csv
codnas	2hdm_a	92	2	5	6	0.938462	0.663043	codnas.csv
codnas	2kkw_a	140	2	5	6	1.000000	1.000000	codnas.csv
codnas	2lel_a	74	2	5	6	1.000000	1.000000	codnas.csv
codnas	2lep_a	69	2	5	6	0.890625	0.826087	codnas.csv
codnas	2lv1_a	147	2	5	6	0.983333	0.401361	codnas.csv
codnas	2mwf_a	32	2	5	6	0.920000	0.718750	codnas.csv
codnas	2oug_c	162	2	5	6	1.000000	0.870370	codnas.csv
codnas	2p3v_d	256	2	5	6	1.000000	0.992188	codnas.csv
codnas	2vfx_l	206	2	5	6	0.978610	0.888350	codnas.csv
codnas	3g0h_a	424	2	5	6	1.000000	0.955189	codnas.csv
codnas	3hdf_a	140	2	5	6	1.000000	0.950000	codnas.csv
codnas	3ifa_a	338	2	5	6	1.000000	0.834320	codnas.csv
codnas	3j7w_b	345	2	5	6	1.000000	0.918841	codnas.csv
codnas	3j9c_a	562	2	5	6	1.000000	0.752669	codnas.csv
codnas	3jv6_a	101	2	5	6	1.000000	1.000000	codnas.csv
codnas	3kds_g	465	2	5	6	0.997625	0.903226	codnas.csv
codnas	3kuy_a	135	2	5	6	0.977273	0.637037	codnas.csv
codnas	3m1b_f	99	2	5	6	1.000000	1.000000	codnas.csv
codnas	3njq_a	193	2	5	6	1.000000	0.979275	codnas.csv
codnas	3o44_a	593	2	5	6	0.988196	0.979764	codnas.csv
codnas	3qy2_a	117	2	5	6	0.991071	0.897436	codnas.csv
codnas	3r9j_c	77	2	5	6	0.447368	0.441558	codnas.csv
codnas	3t1p_a	371	2	5	6	0.981132	0.981132	codnas.csv
codnas	3tp2_a	229	2	5	6	0.995556	0.978166	codnas.csv
codnas	3uyi_a	337	2	5	6	0.996516	0.848665	codnas.csv
codnas	3zwg_n	179	2	5	6	1.000000	0.983240	codnas.csv
codnas	4aan_a	341	2	5	6	1.000000	0.938416	codnas.csv
codnas	4b3o_b	441	2	5	6	0.993182	0.929705	codnas.csv
codnas	4dxt_a	198	2	5	6	1.000000	0.989899	codnas.csv
codnas	4g0d_z	26	2	5	6	1.000000	0.884615	codnas.csv
codnas	4gqc_c	164	2	5	6	1.000000	0.975610	codnas.csv
codnas	4j3o_f	154	2	5	6	1.000000	1.000000	codnas.csv
codnas	4nc9_c	390	2	5	6	1.000000	0.887179	codnas.csv
codnas	4o0p_a	523	2	5	6	1.000000	0.921606	codnas.csv
codnas	4ow6_b	535	2	5	6	0.997996	0.912150	codnas.csv
codnas	4phq_a	298	2	5	6	0.989474	0.946309	codnas.csv
codnas	4pyi_a	221	2	5	6	1.000000	0.936652	codnas.csv
codnas	4qhf_a	110	2	5	6	1.000000	0.981818	codnas.csv
codnas	4rmb_b	166	2	5	6	1.000000	0.849398	codnas.csv
codnas	4rwn_a	357	2	5	6	1.000000	0.969188	codnas.csv
codnas	4uv2_d	262	2	5	6	1.000000	0.721374	codnas.csv
codnas	4y0m_j	227	2	5	6	0.994845	0.850220	codnas.csv
codnas	4ydq_b	497	2	5	6	1.000000	0.961771	codnas.csv
codnas	4zrb_c	137	2	5	6	1.000000	0.897810	codnas.csv
codnas	5bmy_a	389	2	5	6	0.997416	0.992288	codnas.csv
codnas	5c1v_a	346	2	5	6	1.000000	0.898844	codnas.csv
codnas	5ec5_p	298	2	5	6	0.982877	0.963087	codnas.csv
codnas	5f5r_b	238	2	5	6	1.000000	0.861345	codnas.csv
codnas	5fhc_j	98	2	5	6	0.679487	0.540816	codnas.csv
codnas	5flu_e	163	2	5	6	0.993506	0.938650	codnas.csv
codnas	5hk5_h	147	2	5	6	1.000000	0.755102	codnas.csv
codnas	5hmg_a	328	2	5	6	1.000000	0.969512	codnas.csv
codnas	5i2m_a	422	2	5	6	1.000000	0.969194	codnas.csv
codnas	5jyt_a	106	2	5	6	0.901961	0.867925	codnas.csv
codnas	5jzh_a	424	2	5	6	0.997636	0.995283	codnas.csv
codnas	5keq_f	483	2	5	6	0.991209	0.933747	codnas.csv
codnas	5l35_d	422	2	5	6	1.000000	1.000000	codnas.csv
codnas	5ly6_b	471	2	5	6	0.983015	0.983015	codnas.csv
codnas	6z4u_a	97	2	5	6	1.000000	0.391753	codnas.csv
codnas	7ahl_e	293	2	5	6	0.992883	0.952218	codnas.csv
