target_id	state	reference_name	sequence_identity	exact_sequence_match_0.95	CA_coverage	sha256	reference_path
1cee_b	state1	1cee.B.pdb	1.000000	1	1.000000	a65362c0cf7e4ac1c7976469ef474a0c9badfdd4e55b590e5b94caf742c1f90a	references/1cee_b/state1_1cee.B.pdb
1cee_b	state2	2k42.A.pdb	0.960000	1	0.813559	720a10ce9138ab5cbbe0a72057a684b2afa760b7168d5c8728ee9a0ec3bd72ac	references/1cee_b/state2_2k42.A.pdb
1iyt_a	state1	1iyt.A.pdb	1.000000	1	1.000000	2c7b3aaf1ce5cb6dcd999743ed2640f49b6eaa92b5e817a57a9776eb3344747e	references/1iyt_a/state1_1iyt.A.pdb
1iyt_a	state2	2nao.F.pdb	1.000000	1	1.000000	41b15216160bb35e388d47d6afd9ba39f4584b3b7c19c737650d0234660d74c3	references/1iyt_a/state2_2nao.F.pdb
1jfk_a	state1	1jfk.A.pdb	1.000000	1	1.000000	cb63227d1dfc92f47b82de665dd500114c40ccc463fa9f36defe5546f0a6317b	references/1jfk_a/state1_1jfk.A.pdb
1jfk_a	state2	2nxq.B.pdb	1.000000	1	0.477612	c2d6d9094a4462703db2d7b1cd6e7163b6e107c6a356bffe485ca1fd2eb18e2d	references/1jfk_a/state2_2nxq.B.pdb
1k0n_a	state1	1k0n.A.pdb	1.000000	1	0.937759	dbf9609c202e732c16c4bca44ec95ba50197fcb78a840d6657761aaab91244aa	references/1k0n_a/state1_1k0n.A.pdb
1k0n_a	state2	1rk4.B.pdb	0.990291	1	0.846473	a21ebd516ea98eb8af0e7e29762b7b5e6d23122f55206d109f93ef94d696e353	references/1k0n_a/state2_1rk4.B.pdb
1mnm_c	state1	1mnm.C.pdb	1.000000	1	0.885057	c42ce5eadd6bc13fa4a14beb80906d4455e1dde45ce39256fc5b42e381e152b0	references/1mnm_c/state1_1mnm.C.pdb
1mnm_c	state2	1mnm.D.pdb	1.000000	1	0.885057	ea2355c9ad264f482a5c40918f0e2273c8dce4bc054dee7a6ae4be366d32016f	references/1mnm_c/state2_1mnm.D.pdb
1noc_a	state1	1noc.A.pdb	1.000000	1	0.958763	f665c49ffdfd9e11942bf9effdfca24a7ff54a4af844b4614be7c8101366ce5b	references/1noc_a/state1_1noc.A.pdb
1noc_a	state2	1qom.B.pdb	1.000000	1	0.984536	353b2c9d78aea1de5542fa55c93c084ce49740e506c29d21515fca5f69d46cc3	references/1noc_a/state2_1qom.B.pdb
1nqj_b	state1	1nqj.B.pdb	1.000000	1	0.957983	34e78f8dc7e0ee7368e927ac840d17f58980a69fcf5643547379795348ecb1ee	references/1nqj_b/state1_1nqj.B.pdb
1nqj_b	state2	1nqd.A.pdb	1.000000	1	0.932773	16109ba8fda539450aab6b021e45a94b6e9ecbd28cb9d572ca78778b047be053	references/1nqj_b/state2_1nqd.A.pdb
1qs8_b	state1	1qs8.B.pdb	1.000000	1	0.996960	76165a76ccc2761a88806cc9507d21cd79ccf741fd65d170f6c4c7371803590a	references/1qs8_b/state1_1qs8.B.pdb
1qs8_b	state2	1miq.B.pdb	0.996960	1	0.996960	03f961f2da06baa749c5629230d4494860a79b53c734d2911fd26b005dfe0044	references/1qs8_b/state2_1miq.B.pdb
1rep_c	state1	1rep.C.pdb	1.000000	1	0.852590	025c25bbe9155b09635a4fd3ecbac48c979fc275c1ec25bd1ea318fcfe018294	references/1rep_c/state1_1rep.C.pdb
1rep_c	state2	2z9o.B.pdb	0.995413	1	0.864542	a122836e29419b9ae6d37ff1f7df628cc62700280849ea4b13ad5f9bd844d0ea	references/1rep_c/state2_2z9o.B.pdb
1uxm_k	state1	1uxm.K.pdb	1.000000	1	1.000000	eb1dc1a5c0d8e0af1dad42a915e75efe58a90b82c288ab16e6494fb85e7c436d	references/1uxm_k/state1_1uxm.K.pdb
1uxm_k	state2	2nam.A.pdb	0.993464	1	0.993464	7bcc0031677a9c80e13d8b78514e289485d17c96d8d60f9156ee363b52631f91	references/1uxm_k/state2_2nam.A.pdb
1x0g_a	state1	1x0g.A.pdb	1.000000	1	0.910714	31a7674147b3be994e0186414b4490471006fb0c58a368a9f04f4df432916c3f	references/1x0g_a/state1_1x0g.A.pdb
1x0g_a	state2	1x0g.D.pdb	1.000000	1	0.928571	9d57147835539c1f0e3306d32d5b3a671ddced9f1b8ff4e7cc29d316c3f6252d	references/1x0g_a/state2_1x0g.D.pdb
1xju_b	state1	1xju.B.pdb	1.000000	1	0.950920	298bbd62528e69d2622b4c9fd7e1fbcd4ed95f6eb54d1adaf17685feac3136f0	references/1xju_b/state1_1xju.B.pdb
1xju_b	state2	1xjt.A.pdb	1.000000	1	0.932515	6df7d4026a4cbcebfb6038e4ac201165f9dd5687517582be1276aa7d944820a9	references/1xju_b/state2_1xjt.A.pdb
1xnt_a	state1	1xnt.A.pdb	1.000000	1	0.825137	a792b85fffbc874c45dfbdfa7634d7ca1a2c9a52e0dfbd36cf129c502b254cfe	references/1xnt_a/state1_1xnt.A.pdb
1xnt_a	state2	3lqc.A.pdb	1.000000	1	0.825137	e07c34b963d445f2bd2bf8fb3a26349c02b8e7a1c6a9aa1bf3fd420027a5c071	references/1xnt_a/state2_3lqc.A.pdb
2c1v_b	state1	2c1v.B.pdb	1.000000	1	0.991124	48e130868452f4257d3f6d7fdd4dcb6a1767e0274969335647829ae49039d072	references/2c1v_b/state1_2c1v.B.pdb
2c1v_b	state2	2c1u.C.pdb	1.000000	1	0.973373	6f3af49127f0a57df289d0abb2c2a788cdd4b0e856f4733b6168dac750ed15e9	references/2c1v_b/state2_2c1u.C.pdb
2ged_b	state1	2ged.B.pdb	1.000000	1	0.844560	307978f1a282fee781acfa706da1f98e9d0cd90be077a87eeaf7dc2c365dc652	references/2ged_b/state1_2ged.B.pdb
2ged_b	state2	1nrj.B.pdb	1.000000	1	0.766839	9b72dbd4f60c1308a0215f9a890a24f7b0126eb552ac1f1999903b619a6e7a4f	references/2ged_b/state2_1nrj.B.pdb
2grm_b	state1	2grm.B.pdb	1.000000	1	0.993691	e4452641225799ceb218265a5f90800bd440a9b727c6acb0ab9b4429eae87992	references/2grm_b/state1_2grm.B.pdb
2grm_b	state2	2axz.A.pdb	0.996667	1	0.943218	97b54c4538072ac95a8c2fde8c839e2cfc1524a992d850beddd6b5989e69dc0b	references/2grm_b/state2_2axz.A.pdb
2h44_a	state1	2h44.A.pdb	1.000000	1	1.000000	f460f2e314eed1b89edefd6b7f18e4d1aa1a59160dc533840eadf398c31d870b	references/2h44_a/state1_2h44.A.pdb
2h44_a	state2	1rkp.A.pdb	0.996785	1	0.950920	712cb51545e392ef540408499082606cb486cb45067c999a8183b8ce322fb3cd	references/2h44_a/state2_1rkp.A.pdb
2hdm_a	state1	2hdm.A.pdb	1.000000	1	0.804348	a4b16d00fab9f9788222879293ea63c3fa14cd07ccbd57e14a1ba2553de8112f	references/2hdm_a/state1_2hdm.A.pdb
2hdm_a	state2	2n54.B.pdb	0.938462	0	0.663043	ecfb9e74f4fcf7f8757102898b14aca2794a079afce9dcf6b7e5f388bb2cc915	references/2hdm_a/state2_2n54.B.pdb
2kkw_a	state1	2kkw.A.pdb	1.000000	1	1.000000	1a82944490942b94de81c8e3f018571fab528da1d586f4e58beee1f66b5b76a5	references/2kkw_a/state1_2kkw.A.pdb
2kkw_a	state2	2n0a.D.pdb	1.000000	1	1.000000	aaf2dea59c0d3bf9f349adf95eb7bc58beb3edbae5558d3e2383d89d72e5aa7b	references/2kkw_a/state2_2n0a.D.pdb
2lel_a	state1	2lel.A.pdb	1.000000	1	1.000000	fda7a452a64b6f7648cd9c0d22ed775762b577ef8d41371b2a16e4cb12031a13	references/2lel_a/state1_2lel.A.pdb
2lel_a	state2	2k0q.A.pdb	1.000000	1	1.000000	d052c9ccd40cd8d53db67df2debf601bbca178e022d447bce95791f1971b97bb	references/2lel_a/state2_2k0q.A.pdb
2lep_a	state1	2lep.A.pdb	1.000000	1	0.913043	294b95f70f7b53067ed18966e6d592bc5581aabe1df19a48cc3cbc3359629c1a	references/2lep_a/state1_2lep.A.pdb
2lep_a	state2	4hdd.A.pdb	0.890625	0	0.826087	638e58b2dc1aa63be16d49c0ddb15f100528609d142c993d5353b6904751438c	references/2lep_a/state2_4hdd.A.pdb
2lv1_a	state1	2lv1.A.pdb	1.000000	1	1.000000	41d9b3b8add526cd0f73e77047e195e302bda77a0c8910fed748214dfff49fc1	references/2lv1_a/state1_2lv1.A.pdb
2lv1_a	state2	6lni.A.pdb	0.983333	1	0.401361	21097a1af0e97cb3cf8a06482190dc45c0b5a0734a465e398fc7a8a44aae286e	references/2lv1_a/state2_6lni.A.pdb
2mwf_a	state1	2mwf.A.pdb	1.000000	1	1.000000	ad14255a24f0d54251fc6c06a3189ca1decc9d39c5b77c6838a57f2239650687	references/2mwf_a/state1_2mwf.A.pdb
2mwf_a	state2	2nnt.A.pdb	0.920000	0	0.718750	7df8d40c5cdfb29eef39e5d04906d289f0618319a20ac9d2495fca0e306a52e7	references/2mwf_a/state2_2nnt.A.pdb
2oug_c	state1	2oug.C.pdb	1.000000	1	0.870370	4b3a6ecd7f77c659555857d6f52ca9fa7cbcf2874ffa349a15dd713203ccf21e	references/2oug_c/state1_2oug.C.pdb
2oug_c	state2	6c6s.D.pdb	1.000000	1	0.993827	86c786ebf350e8f15ebb9dbb3504b6fc3b3248a4356b60ec2675b88e25931d36	references/2oug_c/state2_6c6s.D.pdb
2p3v_d	state1	2p3v.D.pdb	1.000000	1	0.992188	b870a4b0cccbdc22dc4694357bcac168b7469bba39cbf87b5986d6abb95cd5d2	references/2p3v_d/state1_2p3v.D.pdb
2p3v_d	state2	2p3v.A.pdb	1.000000	1	0.992188	524697f668581285e1d68451e5ba3ef198c46ba2d991c99ae90f8a87db6199ae	references/2p3v_d/state2_2p3v.A.pdb
2vfx_l	state1	2vfx.L.pdb	1.000000	1	0.985437	e68d67c2d098cba72101d3a7e67b7298b5ff2277b2ab806c24255a4abdc46ea7	references/2vfx_l/state1_2vfx.L.pdb
2vfx_l	state2	3gmh.L.pdb	0.978610	1	0.888350	7ebf18f1ad13e88dad0a34169907e3da30d5ec83d49a52897c7f60613b367d3c	references/2vfx_l/state2_3gmh.L.pdb
3g0h_a	state1	3g0h.A.pdb	1.000000	1	0.962264	e75fbd756cee9c921de07b0b690fe6e817dfe4859760c7f087f0e2d13c32fe16	references/3g0h_a/state1_3g0h.A.pdb
3g0h_a	state2	3ews.B.pdb	1.000000	1	0.955189	bf84c88b911796bcdbbc16852e540cfdb15b3d8dc7cd7f9a6b4764f94de5f7ab	references/3g0h_a/state2_3ews.B.pdb
3hdf_a	state1	3hdf.A.pdb	1.000000	1	0.950000	7ef7f2a1848af791155b54d4818ca46e7fc47fcf0bc1fd1580a5f3c9742d3b25	references/3hdf_a/state1_3hdf.A.pdb
3hdf_a	state2	3hde.A.pdb	1.000000	1	1.000000	5a7c4d1478c1a9802b837eeeae6962a3d9d41a09a639983c3ee1b0406eb06364	references/3hdf_a/state2_3hde.A.pdb
3ifa_a	state1	3ifa.A.pdb	1.000000	1	0.964497	61044bf9e188e70216521e34995d5809629ca6e0988f73d8312adb6bcf132be3	references/3ifa_a/state1_3ifa.A.pdb
3ifa_a	state2	5et5.A.pdb	1.000000	1	0.834320	324fca02110a6b377f4ea3cc2dc066fc10a1df04527d519798d016d8975e7329	references/3ifa_a/state2_5et5.A.pdb
3j7w_b	state1	3j7w.B.pdb	1.000000	1	0.994203	138c1a1d5e2148c535de6c595b26169b7f3e453a76c65e10a43da8922fa560dd	references/3j7w_b/state1_3j7w.B.pdb
3j7w_b	state2	3j7v.G.pdb	1.000000	1	0.918841	2bea5f3302750093ce2fe60a401e89a7d816f8fdd8413d89f4faea7fbaaa1873	references/3j7w_b/state2_3j7v.G.pdb
3j9c_a	state1	3j9c.A.pdb	1.000000	1	0.752669	fbb23bdd8c2a470c1864df4a3080d4fa9df71a137a2e22747196a774b106e0ed	references/3j9c_a/state1_3j9c.A.pdb
3j9c_a	state2	4h2a.A.pdb	1.000000	1	0.962633	7ce7a0562ea83fcc4946d7dde4dbb4a169d770238f9a454b3cd8825d97e16d8b	references/3j9c_a/state2_4h2a.A.pdb
3jv6_a	state1	3jv6.A.pdb	1.000000	1	1.000000	d0e1514aa6411022aa701c766d558b603f8640a1591b96b9e56a78b4157c7053	references/3jv6_a/state1_3jv6.A.pdb
3jv6_a	state2	1zk9.A.pdb	1.000000	1	1.000000	6b2ab7c8142fd80e7aa9bd9c2ce08f977fb98dc42fb7f3d47b075f8654b0a3dc	references/3jv6_a/state2_1zk9.A.pdb
3kds_g	state1	3kds.G.pdb	1.000000	1	0.916129	1b433f4bbd80443cee3c45b1e22db5e0df15ec6523bade12c35f1b5f856cc3ef	references/3kds_g/state1_3kds.G.pdb
3kds_g	state2	2ce7.C.pdb	0.997625	1	0.903226	c13d186401311c29ec28d52e08274ac04930eb66c3dc4e9985364e5977f8883d	references/3kds_g/state2_2ce7.C.pdb
3kuy_a	state1	3kuy.A.pdb	1.000000	1	0.711111	c181bf2dee0455daef02cc1892890ac00bb79a1a12314af5f993ca957397236d	references/3kuy_a/state1_3kuy.A.pdb
3kuy_a	state2	5c3i.F.pdb	0.977273	1	0.637037	88220481b20ed243d609e59c5059044362fbb672abae0dd4a34dcb136f59a639	references/3kuy_a/state2_5c3i.F.pdb
3m1b_f	state1	3m1b.F.pdb	1.000000	1	1.000000	77bc2a181c176f16e1b9adece2a18d94a77c3ec453dd94fefaaf965051d5329c	references/3m1b_f/state1_3m1b.F.pdb
3m1b_f	state2	3low.A.pdb	1.000000	1	1.000000	ccb463c1c833702d2b25ffa816aa02c184d7f76c32471f18fd7282c6542cc02e	references/3m1b_f/state2_3low.A.pdb
3njq_a	state1	3njq.A.pdb	1.000000	1	0.979275	823c039d7636c40d7836d6b8652fff3e2a5f0ecc5471add42272c9fb55e4c9b4	references/3njq_a/state1_3njq.A.pdb
3njq_a	state2	2pbk.B.pdb	1.000000	1	0.994819	0adf24b363206749a422fe1e13cf41b0827d7c6e773d5c990cd16b6c5d70b27f	references/3njq_a/state2_2pbk.B.pdb
3o44_a	state1	3o44.A.pdb	1.000000	1	0.979764	46591fec9ac45822b66419042b324d5ded023ea84196fa2f966c21ec50ba0be0	references/3o44_a/state1_3o44.A.pdb
3o44_a	state2	1xez.A.pdb	0.988196	1	0.988196	887c716f9184d0b8d4095a78d4b5f0492dfdd08a222dc78685898229415e28c7	references/3o44_a/state2_1xez.A.pdb
3qy2_a	state1	3qy2.A.pdb	1.000000	1	0.897436	76717cb6f6e3a3334b589b2070b406e2f1a70207c3ddeaa452036b0c1dce77a7	references/3qy2_a/state1_3qy2.A.pdb
3qy2_a	state2	1qb3.A.pdb	0.991071	1	0.948718	82269aa9ee1a573ceb4260ed57b002ba48eb940ff033044b47cdc2615c639052	references/3qy2_a/state2_1qb3.A.pdb
3r9j_c	state1	3r9j.C.pdb	1.000000	1	0.909091	4b9186b32a8c03ad03f4302106ffb372fa67307ebdff2cecfe6dfa5ffcd3c836	references/3r9j_c/state1_3r9j.C.pdb
3r9j_c	state2	2kxo.A.pdb	0.447368	0	0.441558	6a76ec3acd5241caa592d25497f98b5df38a907140f642ce1c7bd96644008e53	references/3r9j_c/state2_2kxo.A.pdb
3t1p_a	state1	3t1p.A.pdb	1.000000	1	1.000000	56e12d9ddf13b194c9278212f1a44f694514864aaf62b5e304a37b3babb9019b	references/3t1p_a/state1_3t1p.A.pdb
3t1p_a	state2	1kct.A.pdb	0.981132	1	0.981132	d999d1e2ff20935f305bd27710809a984a950c61b747941cc198c39258e38f9f	references/3t1p_a/state2_1kct.A.pdb
3tp2_a	state1	3tp2.A.pdb	1.000000	1	0.982533	8db512bb39c8f873aac2e0c951e58800640a68a710bd8875916c358338ba62dc	references/3tp2_a/state1_3tp2.A.pdb
3tp2_a	state2	5lj3.M.pdb	0.995556	1	0.978166	099bf9048305522aec75178576e6d904ce0d321f22fef4971123a36175a51880	references/3tp2_a/state2_5lj3.M.pdb
3uyi_a	state1	3uyi.A.pdb	1.000000	1	0.925816	6ac6fef858375f02db078ab9ef6e6f321309553a621cc7781d3967ea4fd35ab5	references/3uyi_a/state1_3uyi.A.pdb
3uyi_a	state2	3v0t.A.pdb	0.996516	1	0.848665	c10e9b7508ddd865bea9fbe7411f2ff7bc493ce96e8feab26ca1d79ce2f63ad8	references/3uyi_a/state2_3v0t.A.pdb
3zwg_n	state1	3zwg.N.pdb	1.000000	1	0.994413	c1aed1972c96cb7035e88011893d0d17c81607a0e245fbb289537de57142162e	references/3zwg_n/state1_3zwg.N.pdb
3zwg_n	state2	4tsy.D.pdb	1.000000	1	0.983240	6150f02c3767c494412219ac37caee10ef399b76d5803d8c060c20ccf6e326d7	references/3zwg_n/state2_4tsy.D.pdb
4aan_a	state1	4aan.A.pdb	1.000000	1	0.944282	27716727f57eb783d2eba323b5891aaf8d6f9f4c6e46d73d3fc269e62cb2612f	references/4aan_a/state1_4aan.A.pdb
4aan_a	state2	4aal.A.pdb	1.000000	1	0.938416	f81b891ec60cbe9d78b3818ade071c97c30088296f4cecb19c67f7a137d7c54a	references/4aan_a/state2_4aal.A.pdb
4b3o_b	state1	4b3o.B.pdb	1.000000	1	0.929705	e998d694e8feb45341ffbd9218d4d7a2ac172f5286d2dcd71780b52a5bb87ffd	references/4b3o_b/state1_4b3o.B.pdb
4b3o_b	state2	3mee.A.pdb	0.993182	1	0.990930	c7b41dd857512a3cd0a5e9f791a598b0d6bfe72950a8a3a7e752f4e9506687c0	references/4b3o_b/state2_3mee.A.pdb
4dxt_a	state1	4dxt.A.pdb	1.000000	1	1.000000	cb1787374dbc6c575c4840053557ff2f6e3b62db3d8d0f31b14dd112105c9aef	references/4dxt_a/state1_4dxt.A.pdb
4dxt_a	state2	4dxr.A.pdb	1.000000	1	0.989899	da743811bd2ce3fc49e40c8f9579c68844155cbe32858a152f129c38920e7343	references/4dxt_a/state2_4dxr.A.pdb
4g0d_z	state1	4g0d.Z.pdb	1.000000	1	0.884615	40bfd715b506f75e95dd7fe92da291a74964a619fa80c191aef1c09ff8b77a86	references/4g0d_z/state1_4g0d.Z.pdb
4g0d_z	state2	4fu4.C.pdb	1.000000	1	1.000000	92b83cb83b0e11fd71f39be23c80b3f476dda4010259c9ca22f71a0f0eab17d8	references/4g0d_z/state2_4fu4.C.pdb
4gqc_c	state1	4gqc.C.pdb	1.000000	1	0.981707	e0f54b9ffd07af3ad648b6fc16a7f897190c036cf6124aa0fcf89c7ca29d6ddc	references/4gqc_c/state1_4gqc.C.pdb
