pdb_id	deposit_date
101m	1997-12-13
102l	1992-09-29
102m	1997-12-15
103l	1992-09-29
103m	1997-12-16
104l	1992-09-29
104m	1997-12-18
105m	1997-12-18
106m	1997-12-21
107l	1992-12-17
107m	1997-12-22
108l	1992-12-17
108m	1997-12-23
109l	1992-12-17
109m	1997-12-22
10gs	1997-08-14
10mh	1998-08-10
110l	1992-12-17
110m	1997-12-23
111l	1992-12-17
111m	1997-12-24
112l	1992-12-17
112m	1997-12-24
113l	1992-12-17
114l	1992-12-17
115l	1992-12-17
117e	1998-09-15
118l	1993-05-28
119l	1993-05-28
11as	1997-12-02
11ba	1999-03-17
11bg	1999-03-11
11gs	1997-11-03
120l	1993-05-28
121p	1991-06-06
122l	1993-05-28
123l	1993-05-28
125l	1993-05-28
126l	1993-05-28
127l	1993-05-28
128l	1993-05-28
129l	1993-05-28
12as	1997-12-02
12ca	1991-10-01
12e8	1998-03-14
12gs	1997-11-19
130l	1993-05-28
131l	1993-05-28
132l	1993-06-02
133l	1993-06-01
134l	1993-06-01
135l	1993-06-10
137l	1993-08-17
138l	1993-09-01
139l	1993-09-01
13gs	1997-11-20
13pk	1996-11-23
140l	1993-10-15
141l	1993-10-15
142l	1993-10-15
143l	1993-10-15
144l	1993-10-15
145l	1993-10-15
146l	1993-10-15
147l	1993-10-15
148l	1993-10-27
149l	1994-01-25
14gs	1997-11-29
150l	1994-01-25
151l	1994-01-25
152l	1994-01-26
153l	1994-05-05
154l	1994-05-05
155c	1976-08-01
155l	1994-06-20
156l	1994-06-20
157l	1994-06-20
158l	1994-06-20
159l	1994-06-20
15c8	1998-03-18
160l	1994-06-20
161l	1994-06-20
162l	1994-06-20
163l	1994-06-20
164l	1994-06-20
165l	1994-06-20
166l	1994-06-20
167l	1995-03-24
168l	1995-03-24
169l	1995-03-24
16gs	1997-11-30
16pk	1998-05-18
16vp	1999-02-11
170l	1995-03-24
171l	1995-03-24
172l	1995-03-24
173d	1994-04-18
173l	1995-03-24
174l	1995-03-24
175l	1995-03-24
176l	1995-03-24
177l	1995-03-24
178l	1995-03-24
17gs	1997-12-07
180l	1995-03-24
181l	1995-04-19
182l	1995-04-19
183l	1995-04-19
184l	1995-04-19
185d	1994-08-10
185l	1995-04-19
186l	1995-04-19
187l	1995-04-19
188l	1995-04-19
189l	1995-05-09
18gs	1997-12-07
190l	1995-06-13
1914	1997-11-13
191l	1995-06-13
192l	1995-06-13
193d	1994-09-30
193l	1995-09-01
194l	1995-09-01
195l	1995-11-06
196l	1995-11-06
197l	1995-11-06
198l	1995-11-06
199l	1995-11-06
19gs	1997-12-14
19hc	1998-12-01
1a00	1997-12-08
1a01	1997-12-08
1a02	1997-12-08
1a03	1997-12-08
1a04	1997-12-08
1a05	1997-12-09
1a06	1997-12-09
1a07	1997-12-09
1a08	1997-12-09
1a09	1997-12-10
1a0a	1997-11-27
1a0b	1997-11-27
1a0c	1997-11-28
1a0d	1997-11-28
1a0e	1997-11-28
1a0f	1997-11-29
1a0g	1997-11-30
1a0h	1997-11-30
1a0i	1997-12-01
1a0j	1997-12-01
1a0k	1997-12-02
1a0l	1997-12-03
1a0m	1997-12-03
1a0n	1997-12-05
1a0o	1997-12-05
1a0p	1997-12-05
1a0q	1997-12-05
1a0r	1997-12-05
1a0s	1997-12-07
1a0t	1997-12-08
1a0u	1997-12-08
1a0z	1997-12-08
1a11	1997-12-19
1a12	1997-12-19
1a13	1997-12-20
1a14	1997-12-21
1a15	1997-12-22
1a16	1997-12-22
1a17	1997-12-23
1a18	1997-12-23
1a19	1997-12-25
1a1a	1997-12-10
1a1b	1997-12-10
1a1c	1997-12-10
1a1d	1997-12-10
1a1e	1997-12-10
1a1f	1997-12-10
1a1g	1997-12-10
1a1h	1997-12-10
1a1i	1997-12-10
1a1j	1997-12-10
1a1k	1997-12-10
1a1l	1997-12-10
1a1m	1997-12-11
1a1n	1997-12-11
1a1o	1997-12-11
1a1p	1997-12-12
1a1q	1997-12-12
1a1r	1997-12-15
1a1s	1997-12-15
1a1t	1997-12-15
1a1u	1997-12-16
1a1v	1997-12-17
1a1w	1997-12-18
1a1x	1997-12-18
1a1z	1997-12-18
1a21	1998-01-14
1a22	1998-01-15
1a23	1998-01-15
1a24	1998-01-15
1a25	1998-01-16
1a26	1998-01-16
1a27	1998-01-16
1a28	1998-01-19
1a29	1998-01-19
1a2a	1997-12-25
1a2b	1997-12-26
1a2c	1997-12-26
1a2d	1997-12-29
1a2f	1998-01-02
1a2g	1998-01-02
1a2i	1998-01-05
1a2j	1998-01-06
1a2l	1998-01-06
1a2m	1998-01-06
1a2n	1998-01-06
1a2o	1998-01-06
1a2p	1998-01-07
1a2q	1998-01-08
1a2s	1998-01-10
1a2t	1998-01-11
1a2u	1998-01-11
1a2v	1998-01-12
1a2w	1998-01-12
1a2x	1998-01-13
1a2y	1998-01-13
1a2z	1998-01-13
1a30	1998-01-27
1a31	1998-01-27
1a32	1998-01-27
1a33	1998-01-27
1a34	1998-01-28
1a35	1998-01-29
1a36	1998-01-29
1a37	1998-01-28
1a38	1998-01-28
1a39	1998-01-28
1a3a	1998-01-19
1a3b	1998-01-20
1a3c	1998-01-20
1a3d	1998-01-20
1a3e	1998-01-21
1a3f	1998-01-21
1a3g	1998-01-21
1a3h	1998-01-21
1a3i	1998-01-22
1a3j	1998-01-22
1a3k	1998-01-22
1a3l	1998-01-22
1a3n	1998-01-22
1a3o	1998-01-22
1a3p	1998-01-22
1a3q	1998-01-23
1a3r	1998-01-23
1a3s	1998-01-23
1a3t	1998-01-24
1a3u	1998-01-24
1a3v	1998-01-24
1a3w	1998-01-26
1a3x	1998-01-26
1a3y	1998-01-27
1a3z	1998-01-27
1a40	1998-02-10
1a41	1998-02-10
1a42	1998-02-10
1a43	1998-02-10
1a44	1998-02-10
1a45	1998-02-10
1a46	1998-02-11
1a47	1998-02-11
1a48	1998-02-12
1a49	1998-02-12
1a4a	1998-01-28
1a4b	1998-01-28
1a4c	1998-01-28
1a4e	1998-01-29
1a4f	1998-01-29
1a4g	1998-01-29
1a4h	1998-01-29
1a4i	1998-01-30
1a4j	1998-01-30
1a4k	1998-01-30
1a4l	1998-01-31
1a4m	1998-01-31
1a4o	1998-02-01
1a4p	1998-01-30
1a4q	1998-01-30
1a4r	1998-02-02
1a4s	1998-02-03
1a4t	1998-02-04
1a4u	1998-02-05
1a4v	1998-02-05
1a4w	1998-02-06
1a4x	1998-02-08
1a4y	1998-02-08
1a4z	1998-02-10
1a50	1998-02-18
1a52	1998-02-19
1a53	1998-02-19
1a54	1998-02-19
1a55	1998-02-19
1a56	1998-02-20
1a57	1998-02-20
1a58	1998-02-20
1a59	1998-02-20
1a5a	1998-02-12
1a5b	1998-02-12
1a5c	1998-02-13
1a5d	1998-02-12
1a5e	1998-02-13
1a5f	1998-02-16
1a5g	1998-02-16
1a5h	1998-02-17
1a5i	1998-02-17
1a5j	1998-02-16
1a5k	1998-02-17
1a5l	1998-02-17
1a5m	1998-02-17
1a5n	1998-02-17
1a5o	1998-02-17
1a5p	1998-02-17
1a5q	1998-02-17
1a5r	1998-02-18
1a5s	1998-02-17
1a5t	1998-02-18
1a5u	1998-02-18
1a5v	1998-02-18
1a5w	1998-02-18
1a5x	1998-02-18
1a5y	1998-02-19
1a5z	1998-02-18
1a61	1998-03-05
1a62	1998-03-05
1a63	1998-03-05
1a64	1998-03-05
1a65	1998-03-05
1a66	1998-03-06
1a67	1998-03-06
1a68	1998-03-06
1a69	1998-03-08
1a6a	1998-02-22
1a6b	1998-02-23
1a6c	1998-02-23
1a6d	1998-02-24
1a6e	1998-02-24
1a6f	1998-02-24
1a6g	1998-02-25
1a6i	1998-02-25
1a6j	1998-02-25
1a6k	1998-02-26
1a6l	1998-02-26
1a6m	1998-02-26
1a6n	1998-02-26
1a6p	1998-02-26
1a6q	1998-02-27
1a6r	1998-02-27
1a6s	1998-03-02
1a6t	1998-03-03
1a6u	1998-03-03
1a6v	1998-03-03
1a6w	1998-03-03
1a6x	1998-03-04
1a6y	1998-03-04
1a6z	1998-03-04
1a70	1998-03-19
1a71	1998-03-19
1a72	1998-03-19
1a73	1998-03-19
1a74	1998-03-19
1a75	1998-03-19
1a76	1998-03-20
1a77	1998-03-20
1a78	1998-03-20
1a79	1998-03-23
1a7a	1998-03-10
1a7b	1998-03-10
1a7c	1998-03-12
1a7d	1998-03-12
1a7e	1998-03-12
1a7f	1998-03-12
1a7g	1998-03-13
1a7h	1998-03-13
1a7i	1998-03-15
1a7j	1998-03-16
1a7k	1998-03-16
1a7l	1998-03-16
1a7m	1998-03-16
1a7n	1998-03-16
1a7o	1998-03-16
1a7p	1998-03-16
1a7q	1998-03-16
1a7r	1998-03-16
1a7s	1998-03-17
1a7t	1998-03-17
1a7u	1998-03-17
1a7v	1998-03-18
1a7w	1998-03-18
1a7x	1998-03-18
1a7y	1998-03-19
1a7z	1998-03-19
1a80	1998-03-31
1a81	1998-03-31
1a82	1998-03-31
1a85	1998-04-03
1a86	1998-04-03
1a87	1998-04-03
1a88	1998-04-03
1a8a	1998-03-23
1a8b	1998-03-23
1a8c	1998-03-23
1a8d	1998-03-23
1a8e	1998-03-24
1a8f	1998-03-25
1a8g	1998-03-24
1a8h	1998-03-26
1a8i	1998-03-25
1a8j	1998-03-26
1a8k	1998-03-27
1a8l	1998-03-26
1a8m	1998-03-27
1a8o	1998-03-27
1a8p	1998-03-28
1a8q	1998-03-27
1a8r	1998-03-27
1a8s	1998-03-27
1a8t	1998-03-23
1a8u	1998-03-26
1a8v	1998-03-28
1a8y	1998-03-31
1a8z	1998-03-30
1a90	1998-04-14
1a91	1998-04-15
1a92	1998-04-15
1a93	1998-04-15
1a94	1998-04-16
1a95	1998-04-16
1a96	1998-04-16
1a97	1998-04-16
1a98	1998-04-16
1a99	1998-04-17
1a9b	1998-04-03
1a9c	1998-04-04
1a9e	1998-04-05
1a9m	1998-04-08
1a9n	1998-04-08
1a9o	1998-04-10
1a9p	1998-04-10
1a9q	1998-04-10
1a9r	1998-04-10
1a9s	1998-04-10
1a9t	1998-04-10
1a9u	1998-04-10
1a9v	1998-04-10
1a9w	1998-04-11
1a9x	1998-04-14
1a9y	1998-04-14
1a9z	1998-04-14
1aa0	1997-01-18
1aa1	1997-01-20
1aa2	1997-01-21
1aa3	1997-01-22
1aa4	1997-01-22
1aa5	1997-01-23
1aa6	1997-01-23
1aa7	1997-01-24
1aa9	1997-01-27
1aab	1995-10-28
1aac	1995-09-07
1aaf	1992-04-06
1aaj	1992-04-09
1aal	1992-04-09
1aam	1993-07-13
1aan	1992-04-09
1aap	1990-09-14
1aaq	1992-04-13
1aar	1992-04-17
1aat	1982-04-23
1aaw	1993-07-13
1aax	1997-01-16
1aay	1997-01-18
1aaz	1992-04-24
1ab0	1997-01-30
1ab1	1997-01-31
1ab2	1993-07-19
1ab3	1997-02-03
1ab4	1997-02-03
1ab5	1997-02-04
1ab6	1997-02-04
1ab7	1997-02-04
1ab8	1997-02-04
1ab9	1997-02-05
1aba	1992-04-24
1abb	1992-04-09
1abe	1992-04-23
1abf	1992-04-23
1abi	1992-08-24
1abj	1992-08-24
1abn	1992-09-03
1abo	1995-05-19
1abq	1995-05-19
1abr	1994-11-11
1abs	1997-01-28
1abt	1993-11-17
1abv	1997-01-29
1abw	1997-01-29
1aby	1997-01-29
1abz	1997-01-31
1ac0	1997-02-10
1ac1	1997-02-10
1ac4	1997-02-12
1ac5	1997-02-13
1ac6	1997-02-13
1ac8	1997-02-14
1aca	1992-11-17
1acb	1991-11-08
1acc	1997-02-05
1acd	1997-02-06
1acf	1994-07-29
1aci	1997-02-07
1acj	1993-08-18
1acl	1993-08-18
1acm	1992-07-08
1aco	1993-01-17
1acp	1990-07-29
1acv	1997-02-10
1acw	1997-02-10
1acx	1982-12-17
1acy	1994-02-10
1acz	1997-02-10
1ad0	1997-02-19
1ad1	1997-02-19
1ad2	1997-02-20
1ad3	1996-06-25
1ad4	1997-02-20
1ad5	1997-02-20
1ad6	1997-02-21
1ad7	1997-02-21
1ad8	1997-02-24
1ad9	1997-02-24
1adb	1993-12-13
1adc	1993-12-13
1add	1992-12-22
1ade	1995-09-14
1adf	1993-10-18
1adg	1993-10-18
1adi	1995-09-14
1adj	1997-02-18
1adl	1994-03-25
1adn	1993-09-30
1ado	1996-12-02
1adq	1997-02-18
1adr	1993-07-19
1ads	1992-07-08
1adu	1995-05-11
1adv	1995-05-12
1adw	1997-02-18
